Empreendimento;Situação;Data Entrega; Unidades Habitacionais ;Programa;Ação PPA;Município;Região Administrativa
AGUAS DE LINDOIA C;COMERCIALIZADA;13/12/2019; 50 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Águas de Lindóia;CAMPINAS
AGUAS DE SANTA BARBARA A1;COMERCIALIZADA;23/10/1997; 130 ;SH4;;Águas de Santa Bárbara;SOROCABA
AGUAS DE SANTA BARBARA A2;COMERCIALIZADA;21/08/1999; 13 ;Sonho Meu;;Águas de Santa Bárbara;SOROCABA
AGUAS DE SANTA BARBARA B1;COMERCIALIZADA;20/06/2002; 37 ;Sonho Meu;;Águas de Santa Bárbara;SOROCABA
AGUAS DE SANTA BARBARA B2;COMERCIALIZADA;20/06/2002; 55 ;Sonho Meu;;Águas de Santa Bárbara;SOROCABA
AGUAS DE SANTA BARBARA C - FASE 1;COMERCIALIZADA;13/01/2020; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Águas de Santa Bárbara;SOROCABA
AGUDOS A1;COMERCIALIZADA;17/12/2002; 42 ;Sonho Meu;;Agudos;BAURU
AGUDOS A2;COMERCIALIZADA;16/02/2001; 60 ;Sonho Meu;;Agudos;BAURU
AGUDOS E;COMERCIALIZADA;17/05/2010; 97 ;Reassentamento Habitacional;;Agudos;BAURU
AGUDOS G;COMERCIALIZADA;07/04/2020; 90 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Agudos;BAURU
ALAMBARI A;COMERCIALIZADA;21/12/2002; 80 ;Sonho Meu;;Alambari;SOROCABA
ALAMBARI B;COMERCIALIZADA;28/12/2018; 61 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Alambari;SOROCABA
ALFREDO MARCONDES A;COMERCIALIZADA;21/10/1989; 38 ;SH2;;Alfredo Marcondes;PRESIDENTE PRUDENTE
ALFREDO MARCONDES B;COMERCIALIZADA;22/05/1992; 33 ;SH3;;Alfredo Marcondes;PRESIDENTE PRUDENTE
ALFREDO MARCONDES C;COMERCIALIZADA;16/02/2001; 90 ;Sonho Meu;;Alfredo Marcondes;PRESIDENTE PRUDENTE
ALFREDO MARCONDES D;COMERCIALIZADA;17/10/2012; 54 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Alfredo Marcondes;PRESIDENTE PRUDENTE
ALFREDO MARCONDES E - FASE 1;COMERCIALIZADA;14/10/2021; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Alfredo Marcondes;PRESIDENTE PRUDENTE
ALFREDO MARCONDES E - FASE 2;COMERCIALIZADA;01/09/2022; 9 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Alfredo Marcondes;PRESIDENTE PRUDENTE
ALTAIR A;COMERCIALIZADA;21/10/1994; 15 ;SH4;;Altair;BARRETOS
ALTAIR B (DISTR. SUINANA);COMERCIALIZADA;21/10/1994; 33 ;SH4;;Altair;BARRETOS
ALTAIR C;COMERCIALIZADA;26/09/2002; 98 ;Sonho Meu;;Altair;BARRETOS
ALTAIR D;COMERCIALIZADA;04/07/2014; 61 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Altair;BARRETOS
ALTINOPOLIS A;COMERCIALIZADA;25/09/1981; 124 ;PLANHAP;;Altinópolis;RIBEIRÃO PRETO
ALTINOPOLIS B1;COMERCIALIZADA;20/12/1992; 152 ;SH3;;Altinópolis;RIBEIRÃO PRETO
ALTINOPOLIS B2;COMERCIALIZADA;20/12/1992; 49 ;SH3;;Altinópolis;RIBEIRÃO PRETO
ALTINOPOLIS C;COMERCIALIZADA;16/04/1997; 300 ;SH4;;Altinópolis;RIBEIRÃO PRETO
ALTINOPOLIS F1;COMERCIALIZADA;04/12/2002; 50 ;Sonho Meu;;Altinópolis;RIBEIRÃO PRETO
ALTINOPOLIS F2;COMERCIALIZADA;07/08/2003; 61 ;Autoconstrução;;Altinópolis;RIBEIRÃO PRETO
ALTINOPOLIS H;COMERCIALIZADA;05/07/2014; 80 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Altinópolis;RIBEIRÃO PRETO
ALTINOPOLIS H;COMERCIALIZADA;29/11/2014; 111 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Altinópolis;RIBEIRÃO PRETO
ALTO ALEGRE A;COMERCIALIZADA;31/07/1992; 60 ;SH3;;Alto Alegre;ARAÇATUBA
ALTO ALEGRE B1;COMERCIALIZADA;11/05/1996; 60 ;SH4;;Alto Alegre;ARAÇATUBA
ALTO ALEGRE B2;COMERCIALIZADA;23/03/1998; 12 ;Sonho Meu;;Alto Alegre;ARAÇATUBA
ALTO ALEGRE C;COMERCIALIZADA;23/03/1998; 27 ;SH4;;Alto Alegre;ARAÇATUBA
ALTO ALEGRE D;COMERCIALIZADA;01/12/2005; 65 ;Autoconstrução;;Alto Alegre;ARAÇATUBA
ALTO ALEGRE E;COMERCIALIZADA;01/12/2005; 15 ;Autoconstrução;;Alto Alegre;ARAÇATUBA
ALTO ALEGRE F;COMERCIALIZADA;29/12/2008; 54 ;Parceria com Municípios;;Alto Alegre;ARAÇATUBA
ALTO ALEGRE G;COMERCIALIZADA;04/06/2020; 30 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Alto Alegre;ARAÇATUBA
ALTO ALEGRE H;COMERCIALIZADA;13/10/2020; 88 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Alto Alegre;ARAÇATUBA
ALVARES FLORENCE A;COMERCIALIZADA;09/11/1989; 40 ;SH2;;Álvares Florence;SÃO JOSÉ DO RIO PRETO
ALVARES FLORENCE B;COMERCIALIZADA;27/11/1992; 68 ;SH3;;Álvares Florence;SÃO JOSÉ DO RIO PRETO
ALVARES FLORENCE C;COMERCIALIZADA;14/10/1995; 20 ;SH4;;Álvares Florence;SÃO JOSÉ DO RIO PRETO
ALVARES FLORENCE F1;COMERCIALIZADA;22/12/2005; 59 ;Autoconstrução;;Álvares Florence;SÃO JOSÉ DO RIO PRETO
ALVARES FLORENCE F2;COMERCIALIZADA;11/07/2008; 20 ;Parceria com Municípios;;Álvares Florence;SÃO JOSÉ DO RIO PRETO
ALVARES FLORENCE G;COMERCIALIZADA;14/12/2011; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvares Florence;SÃO JOSÉ DO RIO PRETO
ALVARES FLORENCE H;COMERCIALIZADA;10/11/2020; 107 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvares Florence;SÃO JOSÉ DO RIO PRETO
ALVARES MACHADO A;COMERCIALIZADA;30/12/1989; 35 ;Prog Municipal Habitação;;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO B;COMERCIALIZADA;03/03/1994; 70 ;SH3;;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO C;COMERCIALIZADA;24/12/2004; 42 ;Autoconstrução;;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO E;COMERCIALIZADA;28/09/2006; 72 ;Atuação em Favelas e Áreas de Risco;;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO F;COMERCIALIZADA;17/10/2012; 148 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO G1;COMERCIALIZADA;17/10/2012; 156 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO G2;COMERCIALIZADA;10/03/2012; 117 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO G2;COMERCIALIZADA;14/04/2012; 234 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO G2;COMERCIALIZADA;31/08/2012; 136 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvares Machado;PRESIDENTE PRUDENTE
ALVARES MACHADO H;COMERCIALIZADA;17/07/2012; 150 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvares Machado;PRESIDENTE PRUDENTE
ALVARO DE CARVALHO A;COMERCIALIZADA;04/06/1993; 156 ;SH3;;Álvaro de Carvalho;MARÍLIA
ALVARO DE CARVALHO B1;COMERCIALIZADA;23/10/2003; 50 ;Autoconstrução;;Álvaro de Carvalho;MARÍLIA
ALVARO DE CARVALHO B2;COMERCIALIZADA;27/08/2004; 12 ;Autoconstrução;;Álvaro de Carvalho;MARÍLIA
ALVARO DE CARVALHO C;COMERCIALIZADA;05/10/2020; 65 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Álvaro de Carvalho;MARÍLIA
ALVINLANDIA A;COMERCIALIZADA;15/10/1993; 104 ;SH3;;Alvinlândia;MARÍLIA
ALVINLANDIA B;COMERCIALIZADA;27/12/2002; 54 ;Sonho Meu;;Alvinlândia;MARÍLIA
ALVINLANDIA D;COMERCIALIZADA;16/09/2011; 56 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Alvinlândia;MARÍLIA
AMERICANA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 5 ;Crédito Habitacional;;Americana;CAMPINAS
AMERICANA C;COMERCIALIZADA;25/02/1994; 700 ;SH3;;Americana;CAMPINAS
AMERICANA D (SPI-AME1);COMERCIALIZADA;13/03/2004; 143 ;Núcleo Habitacional por Empreitada;;Americana;CAMPINAS
AMERICANA E (SPI-AME2);COMERCIALIZADA;13/03/2004; 144 ;Núcleo Habitacional por Empreitada;;Americana;CAMPINAS
AMERICANA F (SPI-AME3);COMERCIALIZADA;13/03/2004; 160 ;Núcleo Habitacional por Empreitada;;Americana;CAMPINAS
AMERICO BRASILIENSE A1/A2;COMERCIALIZADA;01/01/1977; 24 ;CEESP;;Américo Brasiliense;CENTRAL
AMERICO BRASILIENSE A1/A2;COMERCIALIZADA;01/01/1978; 24 ;CEESP;;Américo Brasiliense;CENTRAL
AMERICO BRASILIENSE B;COMERCIALIZADA;06/12/1992; 100 ;SH3;;Américo Brasiliense;CENTRAL
AMERICO BRASILIENSE C;COMERCIALIZADA;23/09/2004; 80 ;Núcleo Habitacional por Empreitada;;Américo Brasiliense;CENTRAL
AMERICO DE CAMPOS A;COMERCIALIZADA;13/12/1992; 85 ;SH3;;Américo de Campos;SÃO JOSÉ DO RIO PRETO
AMERICO DE CAMPOS B1;COMERCIALIZADA;11/07/1996; 84 ;SH3;;Américo de Campos;SÃO JOSÉ DO RIO PRETO
AMERICO DE CAMPOS C;COMERCIALIZADA;24/02/1996; 45 ;SH3;;Américo de Campos;SÃO JOSÉ DO RIO PRETO
AMERICO DE CAMPOS E;COMERCIALIZADA;22/12/2005; 122 ;Autoconstrução;;Américo de Campos;SÃO JOSÉ DO RIO PRETO
AMPARO A;COMERCIALIZADA;01/01/1977; 53 ;CEESP;;Amparo;CAMPINAS
AMPARO B;COMERCIALIZADA;30/09/1994; 190 ;SH3;;Amparo;CAMPINAS
AMPARO C;COMERCIALIZADA;05/07/2002; 83 ;Sonho Meu;;Amparo;CAMPINAS
AMPARO E;COMERCIALIZADA;21/05/2011; 20 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Amparo;CAMPINAS
ANALANDIA A;COMERCIALIZADA;17/03/2006; 143 ;Autoconstrução;;Analândia;CAMPINAS
ANALANDIA B;COMERCIALIZADA;02/04/2018; 30 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Analândia;CAMPINAS
ANALANDIA B;COMERCIALIZADA;13/09/2018; 48 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Analândia;CAMPINAS
ANDRADINA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 10 ;Crédito Habitacional;;Andradina;ARAÇATUBA
ANDRADINA A;COMERCIALIZADA;01/01/1978; 48 ;CEESP;;Andradina;ARAÇATUBA
ANDRADINA B;COMERCIALIZADA;07/07/1990; 165 ;SH2;;Andradina;ARAÇATUBA
ANDRADINA C;COMERCIALIZADA;28/12/1992; 20 ;SH3;;Andradina;ARAÇATUBA
ANDRADINA D;COMERCIALIZADA;28/12/1992; 350 ;SH3;;Andradina;ARAÇATUBA
ANDRADINA E;COMERCIALIZADA;28/12/1992; 141 ;SH3;;Andradina;ARAÇATUBA
ANDRADINA F;COMERCIALIZADA;27/12/2013; 252 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Andradina;ARAÇATUBA
ANGATUBA A;COMERCIALIZADA;06/04/1990; 55 ;SH2;;Angatuba;ITAPEVA
ANGATUBA B;COMERCIALIZADA;02/12/1993; 138 ;SH3;;Angatuba;ITAPEVA
ANGATUBA C;COMERCIALIZADA;26/03/2001; 188 ;Sonho Meu;;Angatuba;ITAPEVA
ANGATUBA C;COMERCIALIZADA;22/06/2001; 50 ;Sonho Meu;;Angatuba;ITAPEVA
ANGATUBA D;COMERCIALIZADA;08/09/2001; 51 ;Sonho Meu;;Angatuba;ITAPEVA
ANGATUBA E1;COMERCIALIZADA;03/03/2005; 38 ;Autoconstrução;;Angatuba;ITAPEVA
ANGATUBA E2 (D.B.R.ESPERANCA);COMERCIALIZADA;26/10/2006; 11 ;Autoconstrução;;Angatuba;ITAPEVA
ANGATUBA F;COMERCIALIZADA;01/07/2018; 66 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Angatuba;ITAPEVA
ANGATUBA F;COMERCIALIZADA;28/12/2018; 58 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Angatuba;ITAPEVA
ANGATUBA F;COMERCIALIZADA;25/07/2019; 88 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Angatuba;ITAPEVA
ANHEMBI A;COMERCIALIZADA;01/01/1975; 14 ;CEESP;;Anhembi;SOROCABA
ANHEMBI B;COMERCIALIZADA;01/01/1977; 19 ;CEESP;;Anhembi;SOROCABA
ANHEMBI C;COMERCIALIZADA;19/12/1992; 92 ;SH3;;Anhembi;SOROCABA
ANHEMBI D;COMERCIALIZADA;29/08/1992; 48 ;SH3;;Anhembi;SOROCABA
ANHEMBI E01;COMERCIALIZADA;13/04/1996; 140 ;SH4;;Anhembi;SOROCABA
ANHEMBI E02;COMERCIALIZADA;22/12/1997; 50 ;SH4;;Anhembi;SOROCABA
ANHEMBI E03;COMERCIALIZADA;18/12/1998; 30 ;Sonho Meu;;Anhembi;SOROCABA
ANHEMBI E04;COMERCIALIZADA;22/06/2001; 58 ;Sonho Meu;;Anhembi;SOROCABA
ANHEMBI F;COMERCIALIZADA;24/06/2014; 68 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Anhembi;SOROCABA
ANHEMBI G;COMERCIALIZADA;30/12/2009; 160 ;Parceria com Municípios;;Anhembi;SOROCABA
ANHEMBI H;COMERCIALIZADA;30/12/2009; 70 ;Parceria com Municípios;;Anhembi;SOROCABA
ANHEMBI I;COMERCIALIZADA;21/09/2013; 112 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Anhembi;SOROCABA
ANHEMBI J;COMERCIALIZADA;04/11/2016; 16 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Anhembi;SOROCABA
ANHUMAS B;COMERCIALIZADA;02/05/1992; 84 ;SH3;;Anhumas;PRESIDENTE PRUDENTE
ANHUMAS C;COMERCIALIZADA;05/09/1996; 16 ;SH4;;Anhumas;PRESIDENTE PRUDENTE
ANHUMAS D;COMERCIALIZADA;05/09/1996; 42 ;SH4;;Anhumas;PRESIDENTE PRUDENTE
ANHUMAS E;COMERCIALIZADA;19/08/2016; 106 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Anhumas;PRESIDENTE PRUDENTE
APARECIDA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 19 ;Crédito Habitacional;;Aparecida;SAO JOSÉ DOS CAMPOS
APARECIDA A;COMERCIALIZADA;09/05/1997; 160 ;SH4;;Aparecida;SAO JOSÉ DOS CAMPOS
APARECIDA D'OESTE A;COMERCIALIZADA;30/06/1988; 37 ;Prog Municipal Habitação;;Aparecida d'Oeste;SÃO JOSÉ DO RIO PRETO
APARECIDA D'OESTE B1/B2;COMERCIALIZADA;29/12/1988; 40 ;SH2;;Aparecida d'Oeste;SÃO JOSÉ DO RIO PRETO
APARECIDA D'OESTE C;COMERCIALIZADA;23/09/1992; 63 ;SH3;;Aparecida d'Oeste;SÃO JOSÉ DO RIO PRETO
APARECIDA D'OESTE D;COMERCIALIZADA;15/04/1997; 79 ;SH4;;Aparecida d'Oeste;SÃO JOSÉ DO RIO PRETO
APARECIDA D'OESTE E;COMERCIALIZADA;09/06/2011; 87 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Aparecida d'Oeste;SÃO JOSÉ DO RIO PRETO
APIAI - CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 27 ;Parceria Associações e Cooperativas;;Apiaí;ITAPEVA
APIAI - MICROCREDITO;COMERCIALIZADA;31/12/2007; 2 ;Crédito Habitacional;;Americana;CAMPINAS
APIAI B;COMERCIALIZADA;16/05/1997; 128 ;SH3;;Apiaí;ITAPEVA
APIAI C1;COMERCIALIZADA;29/03/2003; 58 ;Núcleo Habitacional por Empreitada;;Apiaí;ITAPEVA
APIAI C2;COMERCIALIZADA;12/12/2008; 40 ;Parceria com Municípios;;Apiaí;ITAPEVA
APIAI D;COMERCIALIZADA;18/07/2009; 36 ;Parceria com Municípios;;Apiaí;ITAPEVA
APIAI/ITAOCA-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 20 ;Parceria Associações e Cooperativas;;Apiaí;ITAPEVA
APIAI-CAPRICHANDO A MORADA 2008;COMERCIALIZADA;30/12/2008; 20 ;Parceria Associações e Cooperativas;;Apiaí;ITAPEVA
ARACATUBA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 10 ;Crédito Habitacional;;Araçatuba;ARAÇATUBA
ARACATUBA A1;COMERCIALIZADA;01/01/1968; 102 ;CEESP;;Araçatuba;ARAÇATUBA
ARACATUBA A2;COMERCIALIZADA;20/01/1996; 10 ;SH4;;Araçatuba;ARAÇATUBA
ARACATUBA B1;COMERCIALIZADA;01/10/1981; 613 ;PLANHAP;;Araçatuba;ARAÇATUBA
ARACATUBA B2/B3;COMERCIALIZADA;28/07/1993; 606 ;SH3;;Araçatuba;ARAÇATUBA
ARACATUBA B4;COMERCIALIZADA;03/12/1993; 74 ;SH3;;Araçatuba;ARAÇATUBA
ARACATUBA B4;COMERCIALIZADA;28/10/1994; 160 ;SH3;;Araçatuba;ARAÇATUBA
ARACATUBA B5;COMERCIALIZADA;03/05/2001; 160 ;Sonho Meu;;Araçatuba;ARAÇATUBA
ARACATUBA C1;COMERCIALIZADA;27/09/1992; 250 ;SH3;;Araçatuba;ARAÇATUBA
ARACATUBA C2;COMERCIALIZADA;27/09/1992; 250 ;SH3;;Araçatuba;ARAÇATUBA
ARACATUBA D;COMERCIALIZADA;27/09/2002; 288 ;Sonho Meu;;Araçatuba;ARAÇATUBA
ARACATUBA E;COMERCIALIZADA;22/12/1997; 500 ;Chamamento Empresarial;;Araçatuba;ARAÇATUBA
ARACATUBA G;COMERCIALIZADA;06/11/2005; 172 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araçatuba;ARAÇATUBA
ARACATUBA G;COMERCIALIZADA;01/04/2007; 52 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araçatuba;ARAÇATUBA
ARACATUBA G;COMERCIALIZADA;18/11/2011; 228 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araçatuba;ARAÇATUBA
ARACATUBA G;COMERCIALIZADA;01/12/2011; 30 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araçatuba;ARAÇATUBA
ARACATUBA G;COMERCIALIZADA;05/12/2012; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araçatuba;ARAÇATUBA
ARACATUBA G;COMERCIALIZADA;21/10/2013; 10 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araçatuba;ARAÇATUBA
ARACATUBA H (SPI-ARC2H);COMERCIALIZADA;24/07/2004; 160 ;Núcleo Habitacional por Empreitada;;Araçatuba;ARAÇATUBA
ARACATUBA I (SPI-ARC3H);COMERCIALIZADA;24/07/2004; 131 ;Núcleo Habitacional por Empreitada;;Araçatuba;ARAÇATUBA
ARACOIABA DA SERRA B;COMERCIALIZADA;30/10/1992; 181 ;SH3;;Araçoiaba da Serra;SOROCABA
ARACOIABA DA SERRA C;COMERCIALIZADA;16/12/2005; 60 ;Parceria com Municípios;;Araçoiaba da Serra;SOROCABA
ARACOIABA DA SERRA C;COMERCIALIZADA;13/12/2008; 141 ;Parceria com Municípios;;Araçoiaba da Serra;SOROCABA
ARACOIABA DA SERRA D;COMERCIALIZADA;12/05/2012; 202 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Araçoiaba da Serra;SOROCABA
ARAMINA A;COMERCIALIZADA;24/11/1993; 150 ;SH3;;Aramina;FRANCA
ARAMINA C;COMERCIALIZADA;02/03/1998; 116 ;SH4;;Aramina;FRANCA
ARAMINA D;COMERCIALIZADA;30/07/2016; 46 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Aramina;FRANCA
ARAMINA D;COMERCIALIZADA;15/12/2016; 8 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Aramina;FRANCA
ARAMINA D;COMERCIALIZADA;18/12/2017; 39 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Aramina;FRANCA
ARANDU A;COMERCIALIZADA;26/04/1992; 140 ;SH3;;Arandu;ITAPEVA
ARANDU B1;COMERCIALIZADA;02/09/1997; 100 ;SH4;;Arandu;ITAPEVA
ARANDU B2;COMERCIALIZADA;20/10/2000; 75 ;Sonho Meu;;Arandu;ITAPEVA
ARANDU D;COMERCIALIZADA;09/09/2019; 202 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Arandu;ITAPEVA
ARAPEI A;COMERCIALIZADA;22/06/2002; 16 ;Sonho Meu;;Arapeí;SAO JOSÉ DOS CAMPOS
ARAPEI A;COMERCIALIZADA;16/08/2003; 19 ;Sonho Meu;;Arapeí;SAO JOSÉ DOS CAMPOS
ARAPEI B;COMERCIALIZADA;27/12/2019; 48 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Arapeí;SAO JOSÉ DOS CAMPOS
ARARAQUARA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 18 ;Crédito Habitacional;;Araraquara;CENTRAL
ARARAQUARA A;COMERCIALIZADA;01/01/1975; 96 ;CEESP;;Araraquara;CENTRAL
ARARAQUARA B1;COMERCIALIZADA;01/01/1978; 424 ;CEESP;;Araraquara;CENTRAL
